Student,previous scale score,diagnostic 1,GM 1,GM 2,diagnostic 2,Achievement Level
65,278,413,424,381,401,1
51,309,459,455,445,466,1
80,251,399,412,371,385,1
9,283,416,410,406,405,1
10,285,436,455,455,468,1
36,301,468,462,494,480,1
11,289,444,434,474,450,1
60,297,429,453,472,447,1
67,295,469,476,458,450,1
70,293,433,435,453,457,1
68,314,454,481,448,464,1
82,,439,,,439,1
55,295,455,479,491,455,1
56,309,462,460,465,462,1
64,301,458,472,463,444,1
69,302,460,483,459,474,1
57,332,487,488,487,501,1
61,314,454,478,,481,1
21,,476,458,498,481,1
18,294,465,481,466,466,1
30,306,470,498,491,468,1
83,300,459,476,,484,1
3,305,469,469,477,479,1
43,305,482,460,476,471,1
7,305,478,486,473,477,2
72,321,485,482,482,482,2
27,298,451,430,443,470,2
5,310,464,451,467,471,2
12,307,479,498,473,464,2
22,316,475,465,476,482,2
37,307,445,458,439,470,2
59,324,482,487,512,494,2
13,311,480,482,487,480,2
32,298,426,466,457,467,2
73,306,470,462,483,469,2
28,308,473,474,501,483,2
40,319,475,489,487,474,2
45,312,485,473,483,500,2
81,306,470,466,476,469,2
44,301,452,451,464,465,2
25,326,474,484,,509,2
42,321,471,469,477,468,2
6,304,476,476,457,482,2
33,316,487,502,487,480,2
34,314,456,471,494,471,2
74,310,480,496,486,485,2
2,306,467,467,457,476,3
23,317,476,475,,507,3
14,323,461,472,486,480,3
19,314,482,490,508,468,3
48,,458,,,489,3
54,321,473,460,411,471,3
8,307,467,475,481,467,3
15,320,482,523,490,491,3
46,342,493,483,489,467,3
53,319,477,485,497,493,3
39,333,470,510,488,483,3
41,299,474,491,,485,3
78,315,469,473,472,459,3
47,320,488,499,488,501,3
62,331,487,494,489,502,3
49,311,478,478,462,465,3
58,321,478,483,501,488,3
52,310,483,523,482,492,3
63,316,485,478,485,488,4
75,326,489,481,480,479,4
76,330,494,508,500,495,4
1,338,510,501,501,490,4
38,347,507,509,497,507,4
35,332,492,483,512,488,4
77,329,496,498,488,493,4
66,,479,482,507,501,4
29,336,502,492,494,488,4
71,339,501,506,474,499,4
16,351,508,514,512,513,5
24,352,504,491,505,480,5
17,337,507,478,483,504,5
31,355,495,518,501,488,5
79,336,485,513,517,504,5
4,321,517,512,522,526,5
26,346,508,500,526,509,5
